sh600550 *ST天威  3.0 6.53 
sh600551 时代出版   1.05 17.34 
sh600555 九龙山    0.0 6.66 
sh600556 北生药业   4.75 14.11 
sh600557 康缘药业   1.35 23.97 
sh600558 大西洋    5.34 15.77 
sh600559 老白干酒   -1.67 47.1 
sh600560 金自天正   0.86 11.75 
sh600561 江西长运   0.71 12.68 
sh600562 国睿科技   -0.18 53.98 
sh600563 法拉电子   -0.28 28.61 
sh600565 迪马股份   1.64 4.97 
sh600566 洪城股份   0.15 20.12 
sh600567 山鹰纸业   1.03 2.94 
sh600568 中珠控股   8.26 14.81 
sh600569 安阳钢铁   4.85 3.46 
sh600570 恒生电子   3.18 59.03 
sh600571 信雅达    6.62 27.54 
sh600572 康恩贝    -0.19 15.49 
sh600573 惠泉啤酒   -1.14 9.5 
sh600576 万好万家   1.79 17.06 
sh600577 精达股份   3.24 7.0 
sh600578 京能电力   4.98 6.32 
sh600579 天华院    2.93 12.64 
sh600581 八一钢铁   3.66 5.67 
sh600582 天地科技   5.18 12.6 
sh600583 海油工程   3.09 11.01 
sh600586 金晶科技   1.5 4.06 
sh600587 新华医疗   -0.99 33.9 
sh600588 用友软件   8.84 25.99 
sh600589 广东榕泰   0.16 6.1 
sh600590 泰豪科技   -0.44 9.1 
sh600592 龙溪股份   0.59 10.26 
sh600593 大连圣亚   0.3 16.93 
sh600594 益佰制药   0.52 33.07 
sh600595 中孚实业   1.46 6.24 
sh600596 新安股份   0.0 10.74 
sh600597 光明乳业   0.12 17.0 
sh600598 *ST大荒  2.1 10.23 
sh600599 熊猫烟花   7.32 24.78 
sh600600 青岛啤酒   0.0 40.62 
sh600601 方正科技   1.28 4.76 
sh600602 仪电电子   0.72 6.98 
sh600603 大洲兴业   2.07 8.39 
sh600604 市北高新   0.09 11.32 
sh600605 汇通能源   2.65 12.78 
sh600606 金丰投资   3.4 11.87 
sh600608 上海科技   0.27 7.4 
sh600609 金杯汽车   2.36 4.33 
sh600610 *ST中纺  2.85 8.31 
sh600611 大众交通   3.64 11.4 
sh600612 老凤祥    3.15 33.09 
sh600613 神奇制药   0.17 17.3 
sh600614 鼎立股份   -0.61 13.13 
sh600615 丰华股份   0.08 11.99 
sh600616 金枫酒业   0.21 9.44 
sh600617 国新能源   -0.89 26.58 
sh600618 氯碱化工   -0.59 10.09 
sh600620 天宸股份   0.6 9.99 
sh600621 华鑫股份   1.33 7.62 
sh600622 嘉宝集团   1.26 8.05 
sh600624 复旦复华   -4.18 16.03 
sh600626 申达股份   0.24 8.31 
sh600628 新世界    0.1 10.5 
sh600629 棱光实业   0.12 16.4 
sh600630 龙头股份   -0.09 11.24 
sh600633 浙报传媒   -0.88 20.38 
sh600634 中技控股   -1.22 12.13 
sh600635 大众公用   1.89 8.08 
sh600636 三爱富    0.0 14.2 
sh600637 百视通    0.64 37.81 
sh600638 新黄浦    1.02 14.82 
sh600639 浦东金桥   5.89 20.67 
sh600640 号百控股   0.13 15.68 
sh600641 万业企业   1.05 5.79 
sh600642 申能股份   3.29 6.28 
sh600643 爱建股份   2.69 13.73 
sh600644 乐山电力   0.32 9.38 
sh600645 中源协和   3.37 45.08 
sh600647 同达创业   0.21 14.38 
sh600648 外高桥    0.25 31.72 
sh600650 锦江投资   1.77 16.13 
sh600651 飞乐音响   0.73 8.25 
sh600652 爱使股份   2.13 6.71 
sh600653 申华控股   5.1 3.71 
sh600654 飞乐股份   3.71 10.07 
sh600655 豫园商城   -0.18 11.38 
sh600657 信达地产   2.6 7.51 
sh600658 电子城    0.26 11.59 
sh600660 福耀玻璃   1.36 11.89 
sh600661 新南洋    -0.53 22.71 
sh600662 强生控股   0.93 8.65 
sh600663 陆家嘴    0.64 34.78 
sh600664 哈药股份   4.03 8.77 
sh600665 天地源    1.13 4.48 
sh600666 西南药业   0.57 12.41 
sh600667 太极实业   0.79 5.13 
sh600668 尖峰集团   1.38 13.95 
sh600671 天目药业   -1.05 15.09 
sh600673 东阳光科   2.41 15.75 
sh600674 川投能源   2.61 20.07 
sh600675 中华企业   1.48 6.19 
sh600676 交运股份   0.97 8.3 
sh600678 四川金顶   0.58 10.38 
sh600679 金山开发   0.08 12.13 
sh600680 上海普天   -0.2 14.82 
sh600682 南京新百   3.05 15.89 
sh600683 京投银泰   4.8 7.2 
sh600684 珠江实业   1.88 7.06 
sh600685 广船国际   1.99 31.79 
sh600686 金龙汽车   0.59 11.87 
sh600687 刚泰控股   3.37 21.5 
sh600688 上海石化   1.72 4.14 
sh600689 *ST三毛  4.99 8.0 
sh600690 青岛海尔   0.49 18.5 
sh600691 阳煤化工   0.54 5.57 
sh600692 亚通股份   1.4 10.88 
sh600693 东百集团   -0.34 8.85 
sh600694 大商股份   2.0 41.83 
sh600695 大江股份   0.71 7.09 
sh600696 多伦股份   0.49 8.22 
sh600697 欧亚集团   1.91 22.99 
sh600698 湖南天雁   0.84 6.03 
sh600699 均胜电子   4.47 21.05 
sh600702 沱牌舍得   0.44 18.33 
sh600703 三安光电   0.28 14.16 
sh600705 中航资本   10.02 27.57 
sh600706 曲江文旅   1.8 15.25 
sh600707 彩虹股份   1.53 8.64 
sh600708 海博股份   0.46 8.7 
sh600710 常林股份   9.96 5.74 
sh600711 盛屯矿业   1.01 6.97 
sh600712 南宁百货   2.1 5.36 
sh600713 南京医药   -0.14 7.25 
sh600715 松辽汽车   -0.05 18.19 
sh600717 天津港    0.68 17.65 
sh600718 东软集团   3.66 17.0 
sh600719 大连热电   -0.68 8.8 
sh600720 祁连山    5.59 10.39 
sh600721 百花村    0.0 9.15 
sh600722 金牛化工   1.68 4.83 
sh600723 首商股份   2.4 8.1 
sh600724 宁波富达   1.45 5.6 
sh600726 华电能源   1.51 4.71 
sh600727 鲁北化工   0.34 5.87 
sh600728 佳都科技   1.06 13.29 
sh600729 重庆百货   1.67 24.29 
sh600730 中国高科   1.26 11.22 
sh600731 湖南海利   1.44 8.43 
sh600732 上海新梅   1.73 7.65 
sh600733 S前锋    4.99 41.02 
sh600734 实达集团   0.79 5.11 
sh600735 新华锦    0.74 16.27 
sh600736 苏州高新   1.64 5.59 
sh600737 中粮屯河   2.18 8.43 
sh600738 兰州民百   0.89 6.82 
sh600739 辽宁成大   2.31 20.82 
sh600740 山西焦化   3.4 7.0 
sh600741 华域汽车   2.24 15.09 
sh600742 一汽富维   1.2 28.59 
sh600743 华远地产   1.23 4.11 
sh600744 华银电力   0.64 4.7 
sh600746 江苏索普   1.83 7.24 
sh600748 上实发展   2.58 11.15 
